street,start_address,end_address,rotaryclub
CHIMNEY ROCK,,,NORTH
CIRCLE'S EDGE,,,SOUTHWEST 
CLARINDA AVE,,,WICHITA FALLS   
CLAYTON LN,,,WICHITA FALLS   
CLIFFSIDE DR,,,SOUTHWEST 
COLINA CIR,,,WICHITA FALLS   
COLQUITT RD,,,NORTH
COMPTON RD,,,NORTH
CONCHO LN,,,SOUTHWEST 
COOKE AVE,,,WICHITA FALLS   
COPPER KETTLE CT,,,SOUTHWEST 
COPPERAS COVE,,,NORTH
COVENTRY CIR,,,WICHITA FALLS   
CRAIGMONT DR,,,WICHITA FALLS   
CRANBROOK LN,,,SOUTHWEST 
CRESTWAY ST,,,NORTH
CROMWELL AVE,,,NORTH
CROWN RIDGE DR,,,WICHITA FALLS   
CUMBERLAND AVE,,,NORTH
CYNTHIA LN,,,NORTH
CYPRESS AVE,,,SOUTHWEST
DANBERRY PL,,,NORTH
DARTMOUTH ST,,,WICHITA FALLS   
DARWIN DR,,,NORTH
DEANNA CIR,,,SOUTHWEST 
DEHAVEN DR,,,SOUTHWEST 
DEL RIO TR,,,NORTH
DELTA DR,,,SOUTHWEST 
DESERT WILLOW CT,,,WICHITA FALLS   
DEVON RD,,,NORTH
DIANE DR,,,NORTH
DICKENS ST,,,NORTH
DOWNHILL DR,,,SOUTHWEST 
DOWNING ST,,,WICHITA FALLS   
DRIFTWOOD DR,,,WICHITA FALLS   
DUBONNET CT,,,NORTH
DUNBARTON DR,,,SOUTHWEST 
EAGLE RIDGE CIR,,,WICHITA FALLS   
EARL ST,,,NORTH
EASTRIDGE DR,,,SOUTHWEST 
EASY ST,,,NORTH
ECLETO BLVD,,,SOUTHWEST 
EDGECLIFF DR,,,SOUTHWEST 
EDGEFIELD CT,,,SOUTHWEST 
EDGEWOOD ST,,,SOUTHWEST 
EL CAPITAN DR,,,SOUTHWEST 
EL DORADO DR,,,NORTH
ELLINGHAM DR,,,WICHITA FALLS   
ELLIOTT ST,,,WICHITA FALLS   
ELMWOOD AVE,,,WICHITA FALLS   
ELMWOOD CIR N,,,WICHITA FALLS   
EMERSON ST,,,NORTH
ESSEX DR,,,WICHITA FALLS   
EUREKA CIR,,,WICHITA FALLS   
FAIN ST,,,WICHITA FALLS   
FAIRWAY  BLVD,,,WICHITA FALLS   
FAIRWAY  BLVD,3500,9999,NORTH
FARINGTON RD,,,WICHITA FALLS   
FLAGSTONE ST,,,SOUTHWEST 
FLAT TOP CIR,,,SOUTHWEST 
FLORIST ST,,,NORTH
GARDEN GROVE LN,,,WICHITA FALLS   
GARDINER RD,,,WICHITA FALLS   
GIDDINGS ST,,,NORTH
GLADNEY LN,,,WICHITA FALLS   
GLENDALE DR,,,SOUTHWEST 
GLENWOOD AVE,,,WICHITA FALLS   
GLORIA LN,,,NORTH
GORMAN RD,,,SOUTHWEST 
GRANADA DR,,,WICHITA FALLS   
GRANT ST,,,NORTH
GRANT'S GLEN ST,,,WICHITA FALLS   
GRAY MOSS CT,,,NORTH
GRAYDON CIR,,,SOUTHWEST 
GREEN HOLLOW ST,,,NORTH
GREENBRIAR RD,,,NORTH
GREENLEAF DR,,,WICHITA FALLS   
HAMILTON BLVD,,,WICHITA FALLS   
HAMPSTEAD LN,,,WICHITA FALLS   
HANOVER RD,,,NORTH
HAPPY HOLLOW DR,,,WICHITA FALLS   
HARRISON ST,,,WICHITA FALLS   
HATTON RD,,,WICHITA FALLS   
HEATHER LN,,,WICHITA FALLS   
HIAWATHA BLVD,,,NORTH
HICKORY DOWNS ST,,,WICHITA FALLS   
HIGHLAND DR,,,SOUTHWEST 
HOLLANDALE AVE,4401,4419,SOUTHWEST 
HOLLOW RIDGE CT,,,WICHITA FALLS   
HOLLOW RIDGE DR,,,WICHITA FALLS   
HUGHES DR,,,SOUTHWEST 
HURSON LN,,,SOUTHWEST 
HYDE PARK CT,,,NORTH
INDIAN HEIGHTS BLVD,,,NORTH
INWOOD DR (EAST),,,NORTH
IRVING PL,,,WICHITA FALLS   
JAMAICA CIR,,,SOUTHWEST 
JAMES ST,,,SOUTHWEST 
JEFFUS CT,,,NORTH
JENNY LEE DR,,,NORTH
JOHNSON RD,,,WICHITA FALLS   
JOHNSON RD,,,SOUTHWEST 
JOY CT,,,SOUTHWEST 
JUDY CIR,,,WICHITA FALLS   
JUNIPER LN,,,WICHITA FALLS   
K-MART DR,,,SOUTHWEST 
KAREN CT,,,SOUTHWEST 
KELL BLVD,3701,4590,NORTH
KEMP BLVD,,,WICHITA FALLS   
KENT LN,,,SOUTHWEST 
KESSLER BLVD,,,NORTH
KINGSBURY DR,,,NORTH
KINGSTON DR,,,SOUTHWEST 
KIRK DR,,,WICHITA FALLS   
K-MART DR,,,SOUTHWEST 
KYLE COVE,,,SOUTHWEST 
L B DRIVE,,,SOUTHWEST 
LACI LN,,,SOUTHWEST 
LADERA COVE,,,WICHITA FALLS   
LAKE BEND DR,4211,4715,SOUTHWEST 
LAKE PARK DR,,,NORTH
LAKE RD,,,NORTH
LAKE VIEW DR,,,SOUTHWEST 
LAKE WELLINGTON PKWY,,,WICHITA FALLS   
LAMBETH WAY,,,NORTH
LANCASTER LN,,,WICHITA FALLS   
LANGFORD LN,,,SOUTHWEST 
LANSING BLVD,,,NORTH
LEGACY DR,,,SOUTHWEST 
LENNOX CT,,,NORTH
LEON CIR,,,WICHITA FALLS   
LESLEY HEIGHTS,,,NORTH
LINDALE DR,,,SOUTHWEST 
LISA LN,,,WICHITA FALLS   
LOMA LINDA LN,,,WICHITA FALLS   
LOMBARD DR,,,NORTH
LONG LEAF DR,,,SOUTHWEST 
LOU LN,,,WICHITA FALLS   
LOVERS LN,,,SOUTHWEST 
LYDIA DR,,,WICHITA FALLS   
MALLORY LN,4810,4910,NORTH
MAPLEWOOD AVE,,,NORTH
MARGARET DR,,,SOUTHWEST
MARIGOLD LN,,,SOUTHWEST 
MARIKA CIR,,,WICHITA FALLS   
MARSHA LN,,,NORTH
MARTIN BLVD,,,WICHITA FALLS   
MARTIN ST,,,WICHITA FALLS   
MARTINIQUE ST,,,WICHITA FALLS   
MASTERSON CIR,,,SOUTHWEST 
MAYFAIR TERR,,,SOUTHWEST
MCCRORY AVE,,,SOUTHWEST 
MCGRATH LN,2411,2911,NORTH
MCNIEL AVE,3510,4200,NORTH
MCNIEL AVE,,,SOUTHWEST
MCNIEL AVE (ROLLING MEADOWS),,,WICHITA FALLS   
MEADOWBROOK DR,,,SOUTHWEST 
MEADOWCLIFF DR,,,SOUTHWEST 
MEDFORD DR,,,WICHITA FALLS   
MELODY LN,,,SOUTHWEST 
MERRIMAC DR,,,WICHITA FALLS   
MESQUITE ST,3216,3319,NORTH
MIAMI AVE,,,NORTH
MIDWESTERN PKWY,,,WICHITA FALLS   
MILBY AVE,,,WICHITA FALLS   
MILL VALLEY DR,,,WICHITA FALLS   
MILLER CT,,,WICHITA FALLS   
MILLER RD,,,WICHITA FALLS   
MIRAMAR ST,,,WICHITA FALLS   
MISTY VALLEY (EAST),,,SOUTHWEST 
MISTY VALLEY (WEST),,,SOUTHWEST 
MITZI COVE,,,SOUTHWEST 
MOCKINGBIRD LN,,,WICHITA FALLS   
MONTEGO DR,,,WICHITA FALLS   
MONTERREY DR,,,SOUTHWEST 
MORNINGSIDE DR,2403,2609,NORTH
N LEIGHTON CIR,,,NORTH
N SHORE DR,,,SOUTHWEST
NASSAU DR,,,WICHITA FALLS   
NATCHEZ TRACE,,,SOUTHWEST 
NAVASOTA CIR,,,WICHITA FALLS   
NETA LN,,,NORTH
NEWCOMB TERR,,,WICHITA FALLS   
NORMAN ST,,,NORTH
NORRIS RD,,,NORTH
NOTTINGHILL LN,,,SOUTHWEST 
OAKWOOD CT,,,WICHITA FALLS   
OAKWOOD CT,,,SOUTHWEST
OLIVE BRANCH CT,,,SOUTHWEST
OLYMPIC DR,,,SOUTHWEST
OPAL ST,,,NORTH
OXFORD LN,,,WICHITA FALLS   
PALUXY CIR,,,WICHITA FALLS   
PARK PLACE CT,,,NORTH
PAWNEE PATHWAY,,,NORTH
PEACHTREE CT,,,WICHITA FALLS   
PEACHTREE LN,,,WICHITA FALLS   
PECKHAM ST,,,WICHITA FALLS   
PEMBROKE LN,,,NORTH
PERIWINKLE DR,,,SOUTHWEST 
PHILLIPS DR,,,SOUTHWEST 
PICADILLY LN,,,NORTH
PICASSO DR,,,WICHITA FALLS   
PIEDMONT PL,,,WICHITA FALLS   
PITCHFORK LN,,,SOUTHWEST 
PRAIRE LACE CT,,,SOUTHWEST
PRIMROSE DR,,,SOUTHWEST 
PRINCE EDWARD DR,,,SOUTHWEST 
PROTHRO AVE,,,SOUTHWEST 
PYRENEES DR,,,SOUTHWEST 
QUAIL CREEK DR,,,WICHITA FALLS   
QUAIL SPRINGS DR,,,NORTH
QUEEN ANNE TERR,,,NORTH
RADNEY LN,,,NORTH
RAMONA CT,,,SOUTHWEST 
RANDEL DR,,,SOUTHWEST 
RAVENS CT,,,NORTH
RAYMOND CIR,,,SOUTHWEST 
RED BLUFF,,,NORTH
RED OAK DR,,,NORTH
REGINALD DR,,,SOUTHWEST 
RETTA TERR,,,NORTH
RHEA RD,,,SOUTHWEST 
RICHARD RD,,,SOUTHWEST 
RIDGEMONT DR,,,WICHITA FALLS   
RIVERA DR,,,SOUTHWEST 
RIVERCREST DR,,,NORTH
ROB ROY LN,,,SOUTHWEST 
ROBIN LN,,,WICHITA FALLS   
ROCKCLIFF CIR,,,WICHITA FALLS   
ROCKRIDGE DR,,,SOUTHWEST 
ROSELAWN AVE,,,WICHITA FALLS   
ROUNDROCK,,,SOUTHWEST 
ROYAL OAK ST,4303,4341,NORTH
RUGBY LN,,,WICHITA FALLS   
RUSKIN RD,,,NORTH
S. LEIGHTON CIR,,,NORTH
SAINT STEPHENS CT,,,SOUTHWEST
SAN SIMEON DR,,,WICHITA FALLS   
SAND PIPER,,,NORTH
SANDY HILL BLVD,,,SOUTHWEST 
SANTA FE ST,,,WICHITA FALLS   
SANTA FE ST,,,NORTH
SARA SUE LN,,,NORTH
SCOTTSDALE LN,3221,4225,SOUTHWEST 
SEABURY DR,,,WICHITA FALLS   
SEYMOUR HWY,,,NORTH
SEYMOUR RD,,,NORTH
SHADY BROOK CT,,,SOUTHWEST 
SHADY GROVE LN,,,SOUTHWEST 
SHADY LN,,,WICHITA FALLS   
SHENANDOAH DR,,,SOUTHWEST 
SHEPHERDS GLEN,,,NORTH
SHERIDAN RD,,,NORTH
SHERRY LN,,,SOUTHWEST 
SHOAL CREEK DR,,,SOUTHWEST 
SIERRA BLANCA,,,SOUTHWEST 
SIERRA MADRE DR,,,SOUTHWEST 
SILVER CREST DR,,,SOUTHWEST 
SILVERWOOD,,,SOUTHWEST 
SINGLETON AVE,,,NORTH
SLEEPY HOLLOW ST,,,WICHITA FALLS   
SONDRA DR,,,SOUTHWEST 
SOUTHFORK DR,,,SOUTHWEST
SOUTHMOOR LN,,,NORTH
SOUTHWEST PKWY,,,WICHITA FALLS   
SOUTHWEST PKWY,,,NORTH
SOUTHWEST PKWY,,,SOUTHWEST 
SOUTHWINDS DR,2013,2003,SOUTHWEST 
SPARKS ST,,,NORTH
SPEEDWAY AVE,,,WICHITA FALLS   
SPINDLETREE DR,,,SOUTHWEST 
SPISER LN,,,NORTH
SPRING PARK LN,,,WICHITA FALLS   
SPRING SHADOW DR,,,SOUTHWEST 
ST. JAMES TERR,,,NORTH
ST. STEPHENS CT,,,SOUTHWEST 
STARWOOD AVE,,,SOUTHWEST 
STIRLING ST,,,WICHITA FALLS   
STONE LAKE DR,,,SOUTHWEST 
STONEGATE DR,,,NORTH
STURDEVANT PL,,,NORTH
SUMMIT DR,,,SOUTHWEST 
SUNDIAL CT,,,NORTH
SUN STONE CT,,,SOUTHWEST
SUN STONE DR,,,SOUTHWEST
SUTTON CIR,,,NORTH
SWEETBRIAR DR,,,SOUTHWEST 
SWENSON CIR,,,SOUTHWEST 
T-BONE RD,,,WICHITA FALLS   
TAFT BLVD,,,WICHITA FALLS   
TAMARRON CT,,,WICHITA FALLS   
TAMARRON DR,,,WICHITA FALLS   
TANGLEWOOD DR,,,WICHITA FALLS   
TOBAGO ST,,,WICHITA FALLS   
TORTUGA TRAIL,,,WICHITA FALLS   
TOWER DR,,,SOUTHWEST 
TRAILWOOD DR,,,SOUTHWEST 
TRENTON TERR,,,WICHITA FALLS   
TRIANGLE CIR,,,SOUTHWEST
TRINIDAD CT,,,SOUTHWEST 
TURTLE CREEK RD,,,WICHITA FALLS   
TWELVE OAKS CT,,,NORTH
UNIVERSITY AVE,,,SOUTHWEST 
VALLEY RIDGE RD,,,WICHITA FALLS   
VAN DORN DR,,,SOUTHWEST 
VERA CT,,,SOUTHWEST 
VICKERS DR,,,SOUTHWEST 
VILLA CT,,,WICHITA FALLS   
W RATHGEBER,,,SOUTHWEST 
WAGGONER CIR,,,WICHITA FALLS   
WAGON WHEEL ST,,,NORTH
WAKEFIELD LN,,,WICHITA FALLS   
WARWICK CT,,,NORTH
WATERFORD DR,,,WICHITA FALLS   
WAVERLY PL,,,WICHITA FALLS   
WEEKS PARK LN,,,WICHITA FALLS   
WEEKS ST,,,SOUTHWEST 
WENDOVER CT,,,NORTH
WENDOVER ST,,,NORTH
WENONAH BLVD,,,NORTH
WESTBURY LN,,,WICHITA FALLS   
WESTRIDGE DR,,,SOUTHWEST 
WESTWARD DR,,,SOUTHWEST 
WHIRLWIND,,,SOUTHWEST 
WHISPER WIND DR,,,SOUTHWEST 
WHITE OAK CT,,,NORTH
WHITEHALL LN,,,NORTH
WILLOW BEND DR,,,NORTH
WILLOWICK DR,,,WICHITA FALLS   
WIMBERLY TERR,,,SOUTHWEST 
WIMBLDON DR,,,WICHITA FALLS   
WINDSONG DR,,,SOUTHWEST 
WINDSOR LN,,,SOUTHWEST 
WOODCREST CIR,,,WICHITA FALLS   
WOODRIDGE DR,,,SOUTHWEST 
WOODROW AVE,,,WICHITA FALLS   
WYNN CIRCLE,4040,9999,SOUTHWEST
WYNWOOD DR,,,SOUTHWEST 
WYOMING AVE,,,WICHITA FALLS   
YORK ST,,,NORTH
MISTLETOE DR,4000,5000,SOUTHWEST
,,,
,,,
8th St,1100,1100,SOUTHWEST
9th St,2106,2106,SOUTHWEST
Alamo Dr.,4502,4522,SOUTHWEST
Allegheny Dr.,5212,5212,SOUTHWEST
Alpine Dr.,4122,4122,SOUTHWEST
Amber Valley Ct.,3,5,SOUTHWEST
Amber Valley Ct. - 2 flags,7,7,SOUTHWEST
Arborgate Terrace,3,4,SOUTHWEST
Arlington St.,1603,1603,SOUTHWEST
Austin St.,807,807,SOUTHWEST
Autumn Ct. FLAG OFF SIDEWALK,5,5,SOUTHWEST
Avenue H,2412,2412,SOUTHWEST
Balboa Dr,4664,4664,SOUTHWEST
Balboa Dr.,4657,4700,SOUTHWEST
Basswood Dr.,14,14,SOUTHWEST
Bayberry Dr.,4933,5065,SOUTHWEST
Beech St.,3200,3208,SOUTHWEST
Belinda Dr,5108,5108,SOUTHWEST
Belinda Dr.,5106,5106,SOUTHWEST
Bermuda Ln.,4500,4511,SOUTHWEST
Black Stone Dr.,5683,5699,SOUTHWEST
Black Stone Dr. Two Flags,5697,5697,SOUTHWEST
Blackstone Dr,5684,5684,SOUTHWEST
Blazing Star Ln.,5407,5413,SOUTHWEST
Blue Mesa,5005,5005,SOUTHWEST
Blue Ridge Dr.,5300,5300,SOUTHWEST
Bonita Ln.,4439,4447,SOUTHWEST
Boren Ave.,2804,2804,SOUTHWEST
Brass Lantern Ct.,1,7,SOUTHWEST
Breezewood Ct.,1,9,SOUTHWEST
Brenda Hursh Dr.,1601,1603,SOUTHWEST
Brenda Hursh Dr. Two Flags,1600,1600,SOUTHWEST
Brenna Dr.,2,6,SOUTHWEST
Briarwood Dr.,4655,4655,SOUTHWEST
Bridge Creek,4700,4700,SOUTHWEST
Bridge Creek Dr.,4804,4819,SOUTHWEST
Broad St,1104,1104,SOUTHWEST
Caden Ln.,5001,5015,SOUTHWEST
Call Field Rd,4426,4426,SOUTHWEST
Callie Ct.,2,5,SOUTHWEST
Canberra Dr.,4303,4419,SOUTHWEST
Candlewood Cir.,4102,4170,SOUTHWEST
Candlewood Cir.- sleeve next to driveway,4162,4162,SOUTHWEST
Candlewood Ct.,1,9,SOUTHWEST
Cascades Dr.,4608,4634,SOUTHWEST
Caston Ln.,4400,4410,SOUTHWEST
Caston Ln. Two Flags,4403,4403,SOUTHWEST
Catalina Dr.,4723,4808,SOUTHWEST
Catskills Dr.,5101,5106,SOUTHWEST
Chadwick Ct.,2,4,SOUTHWEST
Circles Edge,6,6,SOUTHWEST
Cliffside Dr.,1700,1727,SOUTHWEST
Clover Ct.,4,8,SOUTHWEST
Concho Ln.,2800,2809,SOUTHWEST
Copper Kettle Ct.,1,8,SOUTHWEST
Copper Kettle Ct. - 2 Flags,10,10,SOUTHWEST
Copper Kettle Ct. PERSONAL FLAG,7,7,SOUTHWEST
Cranbrook Ln.,3501,3529,SOUTHWEST
Cypress Ave,4611,4611,SOUTHWEST
Cypress Ave.,4813,5023,SOUTHWEST
Deanna Circle,2,2,SOUTHWEST
Dehaven Dr.,4303,4603,SOUTHWEST
Delta Dr.,2801,2806,SOUTHWEST
Denver St. Two Flags,804,804,SOUTHWEST
Downhill Dr.,1713,1720,SOUTHWEST
Dunbarton Dr,4516,4516,SOUTHWEST
Dunbarton Dr.,4505,4517,SOUTHWEST
Eagles Landing,4806,4812,SOUTHWEST
Eastridge Dr.,5045,5057,SOUTHWEST
Ecleto Blvd.,2804,2804,SOUTHWEST
Edgecliff Dr.,5005,5134,SOUTHWEST
Edgefield Ct.,4,7,SOUTHWEST
Edgewood St.,4505,4508,SOUTHWEST
El Capitan Dr.,4616,4643,SOUTHWEST
Fairway Blvd.,4410,4410,SOUTHWEST
Falcon Crest Blvd.,4811,4813,SOUTHWEST
Fawnwood Ct,12,12,SOUTHWEST
Flagstone St.,1719,1719,SOUTHWEST
Flat Top Cir,5,11,SOUTHWEST
Flat Top Cir.,3,3,SOUTHWEST
Flood St.,710,710,SOUTHWEST
Forest Cove,5611,5611,SOUTHWEST
Foster Ave,2823,2823,SOUTHWEST
Gilbert Ave.,1923,1923,SOUTHWEST
Glendale Dr.,1520,1540,SOUTHWEST
Goldenrod Ct.,1,2,SOUTHWEST
Gorman Rd.,4300,4311,SOUTHWEST
Harbor Rd,4629,4629,SOUTHWEST
Harding St.,1300,1300,SOUTHWEST
Heisman Dr.,4802,4913,SOUTHWEST
Henry S Grace Fwy,3003,3003,SOUTHWEST
Highland Dr.,4210,4210,SOUTHWEST
Highland Rd,4207,4207,SOUTHWEST
Hollandale Ave.,4406,4600,SOUTHWEST
Holliday,3101,3101,SOUTHWEST
Holliday RD,3010,3010,SOUTHWEST
Holliday Rd.,3011,3011,SOUTHWEST
Holliday St.,610,610,SOUTHWEST
Hughes Dr,4301,4301,SOUTHWEST
Hursh Ave.,1629,1629,SOUTHWEST
Hurson Ln.,4300,4310,SOUTHWEST
James,4707,4711,SOUTHWEST
Jasmine Ct.,6,17,SOUTHWEST
Jayden Ct.,1,1,SOUTHWEST
Jennings Ave.,4525,4525,SOUTHWEST
Jessica Ct.,1,5,SOUTHWEST
Johnny Ct,26,26,SOUTHWEST
Johnson Rd,5120,5120,SOUTHWEST
Joy Ct,1,10,SOUTHWEST
Juarez St.,0,0,SOUTHWEST
Kalee Ct,6,6,SOUTHWEST
Karen Ct.,1,1,SOUTHWEST
Kell W Blvd,8600,8600,SOUTHWEST
Kellygreen Ct.,3,8,SOUTHWEST
Kent,3502,3502,SOUTHWEST
Kent Lane,3504,3524,SOUTHWEST
Kimbell Dr. 4 flags,4420,4420,SOUTHWEST
Kingston,5224,5224,SOUTHWEST
Kingston Dr.,5120,5226,SOUTHWEST
KMart Dr.,4722,4730,SOUTHWEST
Kyle Cv.,2906,2924,SOUTHWEST
L B Drive,5012,5016,SOUTHWEST
Laci Ln.,6005,6059,SOUTHWEST
Lake Bend Dr,1905,1905,SOUTHWEST
Lake Bend Dr.,1809,1909,SOUTHWEST
Lake View Dr.,4504,4504,SOUTHWEST
Lake Wellington Parkway,5109,5109,SOUTHWEST
Lamplighter Ln.,4710,4811,SOUTHWEST
Lantana Dr.,4913,5010,SOUTHWEST
Lantana Dr. - sleeve in flowerbed,4911,4911,SOUTHWEST
Lantana Dr. Two Flags,4923,4923,SOUTHWEST
Ledgestone Dr.,4902,4924,SOUTHWEST
Lefall,1103,1103,SOUTHWEST
Legacy Dr,4913,4913,SOUTHWEST
Legacy Dr.,4903,5008,SOUTHWEST
Libby Ct.,12,12,SOUTHWEST
Long Leaf Dr.,5404,5508,SOUTHWEST
Lovers Ln.,4811,4811,SOUTHWEST
Maplewood,,,SOUTHWEST
"Maplewood Ave., Suite 1000",4105,4105,SOUTHWEST
Margaret Dr,2001,2001,SOUTHWEST
Margaret Dr.,1915,2000,SOUTHWEST
Marigold Ln.,3502,3517,SOUTHWEST
Marigold Ln.   Personal Flag,3508,3508,SOUTHWEST
Martin Luther King Jr Blvd,200,200,SOUTHWEST
Masterson Circle,2,2,SOUTHWEST
Mattie Circle,12,12,SOUTHWEST
Mayfair Terr. Unit A,2,2,SOUTHWEST
Mayfair Terr. Unit A & B,7,7,SOUTHWEST
Mayfair Terr. Unit B,4,4,SOUTHWEST
McNiel Ave.,4101,4101,SOUTHWEST
Meadow Green Ct.,1,6,SOUTHWEST
Meadowbrook Dr.,4205,4506,SOUTHWEST
Meadowbrook Dr. Center flag living room,4214,4214,SOUTHWEST
Meadowcliff Dr,1720,1720,SOUTHWEST
Meadowcliff Dr.,1705,1725,SOUTHWEST
Melody Ln,1523,1523,SOUTHWEST
Melody Ln.,1525,4604,SOUTHWEST
Misty Valley East,4611,4615,SOUTHWEST
Misty Valley West,4503,4603,SOUTHWEST
Mitzi Cove,2,2,SOUTHWEST
Moffett Ave.,3030,3030,SOUTHWEST
Monroe St.,1214,1214,SOUTHWEST
Monterrey Dr.,4603,4633,SOUTHWEST
Morningside Dr,330,400,SOUTHWEST
N. Shore Dr.,4617,4617,SOUTHWEST
Natchez Trace,6007,6020,SOUTHWEST
Norman St,1520,1562,SOUTHWEST
Nottinghill Ln.,3404,3419,SOUTHWEST
Nottinghill Ln. Personal Flag,3500,3502,SOUTHWEST
Oak Grove Cir. Two Flags,9,9,SOUTHWEST
"Oakmont Dr,",6026,6026,SOUTHWEST
Oakmont Dr.,6000,6031,SOUTHWEST
Oakwood Ct.,1,6,SOUTHWEST
Old Jacksboro Hwy - Apt 1302,5038,5038,SOUTHWEST
Old Jacksboro Hwy - Apt 703,5038,5038,SOUTHWEST
Old Jacksboro Hwy - Apt 801,5038,5038,SOUTHWEST
Old Jacksboro Hwy 3 Flags,4311,4311,SOUTHWEST
Old Jacksboro Hwy.,5024,5024,SOUTHWEST
Old Jacksboro Hwy. 3 Flags,4301,4605,SOUTHWEST
Olive Branch Ct,2,2,SOUTHWEST
Olive Branch Ct.,1,11,SOUTHWEST
Olivia Lane,4913,5001,SOUTHWEST
Olympic Dr.,4807,4824,SOUTHWEST
Park Lane Dr,5124,5124,SOUTHWEST
Park Lane Dr.,5123,5123,SOUTHWEST
Parklane Dr.,5129,5129,SOUTHWEST
Pearl,1805,1805,SOUTHWEST
Periwinkle,11,11,SOUTHWEST
Periwinkle Dr.,7,10,SOUTHWEST
Peyton Ct.,1,1,SOUTHWEST
Phillips Dr.,4437,4437,SOUTHWEST
Pillars Ct.,6,6,SOUTHWEST
Pitchfork Ln,4641,4641,SOUTHWEST
Plateau Ct.,1,10,SOUTHWEST
Prairie Lace Ct.,3,14,SOUTHWEST
Prairie Lace Ct. Flag off sidewalk,12,12,SOUTHWEST
Primrose Dr.,1520,1535,SOUTHWEST
Prince Edward Dr,4216,4216,SOUTHWEST
Prince Edward Dr.,4202,4525,SOUTHWEST
Prothro Ave.,4205,4215,SOUTHWEST
Ramona Ct.,2,10,SOUTHWEST
Red Coach Ln.,3103,3223,SOUTHWEST
